EPI_ISL_501619;1209,1237;
EPI_ISL_442540;2080,2103;
EPI_ISL_624980;285,213;865,1405;697,865;213,287;
EPI_ISL_442541;1450,1451;1448,1449;1451,1461;1449,1450;
EPI_ISL_624983;285,213;697,865;213,287;1264,723;723,1266;865,1405;
EPI_ISL_509926;399,413;411,399;
EPI_ISL_624985;285,213;213,287;
EPI_ISL_442547;2080,2103;
EPI_ISL_568241;134,101;101,136;
EPI_ISL_568242;134,101;101,136;
EPI_ISL_624988;887,1180;1178,887;
EPI_ISL_624989;1547,1517;1517,1549;
EPI_ISL_509936;1902,1841;1841,1982;
EPI_ISL_442555;905,697;930,905;1624,1628;1622,1624;
EPI_ISL_509937;1908,2065;2063,1908;
EPI_ISL_509938;1908,2065;2063,1908;
EPI_ISL_509939;1565,1567;1567,1569;
EPI_ISL_442568;2080,2103;
EPI_ISL_625003;1084,1247;1245,1084;
EPI_ISL_625004;1153,1052;1052,1155;
EPI_ISL_625005;428,422;857,1254;422,430;1252,857;
EPI_ISL_509955;1979,2084;2083,1979;
EPI_ISL_442578;437,440;435,437;
EPI_ISL_568269;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_568272;764,1104;1102,764;
EPI_ISL_625013;288,246;246,290;
EPI_ISL_442584;1866,1943;1943,2093;
EPI_ISL_442585;112,133;131,112;
EPI_ISL_625016;285,213;213,287;
EPI_ISL_509967;2089,2094;
EPI_ISL_625017;1999,2104;
EPI_ISL_625018;1159,714;714,1161;
EPI_ISL_625021;139,63;63,141;
EPI_ISL_625023;288,246;246,290;
EPI_ISL_442597;1340,804;804,1342;
EPI_ISL_509976;144,75;75,146;
EPI_ISL_442599;437,440;435,437;
EPI_ISL_625025;285,213;213,287;
EPI_ISL_568284;160,107;107,162;
EPI_ISL_625026;288,246;246,290;
EPI_ISL_509979;1988,1932;1932,1860;
EPI_ISL_625028;285,213;213,287;
EPI_ISL_442605;1476,1480;1474,1476;
EPI_ISL_442606;1577,1616;1614,1577;
EPI_ISL_568289;1487,1501;1499,1487;
EPI_ISL_625031;285,213;213,287;
EPI_ISL_442608;437,440;435,437;
EPI_ISL_625032;285,213;213,287;
EPI_ISL_568291;1988,1848;1848,1860;
EPI_ISL_442610;437,440;435,437;
EPI_ISL_442612;2080,2103;
EPI_ISL_568295;1988,1848;1848,1860;
EPI_ISL_625037;2041,1921;1921,2043;
EPI_ISL_625039;295,235;235,216;
EPI_ISL_568299;1482,1484;1484,1498;
EPI_ISL_568303;288,246;246,290;
EPI_ISL_568304;1988,1848;1848,1860;
EPI_ISL_442625;437,440;435,437;
EPI_ISL_510046;1923,1999;1860,1923;
EPI_ISL_625048;285,213;697,865;213,287;1264,723;723,1266;865,1405;
EPI_ISL_625049;144,75;288,246;246,290;75,146;
EPI_ISL_625050;2088,1871;1871,2031;
EPI_ISL_568312;1482,1484;1484,1498;
EPI_ISL_625051;1340,804;804,1342;
EPI_ISL_568316;1241,891;667,668;891,1243;668,1252;
EPI_ISL_510059;1186,831;831,1188;
EPI_ISL_568321;146,74;74,148;
EPI_ISL_625056;1468,1465;1465,1474;
EPI_ISL_625057;1442,1446;1440,1442;
EPI_ISL_568325;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_442648;437,440;435,437;
EPI_ISL_442650;437,440;435,437;
EPI_ISL_625064;285,213;213,287;
EPI_ISL_442654;1988,1848;2038,1836;1836,2040;1848,1860;
EPI_ISL_625065;1323,1033;1033,1325;
EPI_ISL_625066;288,246;246,290;
EPI_ISL_510076;650,1383;1381,650;
EPI_ISL_568335;1988,1848;1566,1569;1565,1566;1848,1860;
EPI_ISL_568337;1363,1050;894,1170;1050,1365;1168,894;
EPI_ISL_568340;1988,1848;1848,1860;
EPI_ISL_625073;1988,1848;1848,1860;
EPI_ISL_625075;764,1104;1102,764;
EPI_ISL_568343;1988,1848;1848,1860;
EPI_ISL_625080;288,246;246,290;
EPI_ISL_442676;12,132;437,440;435,437;130,12;
EPI_ISL_442679;2057,1915;1915,2059;
EPI_ISL_568355;1548,1515;92,141;1515,1550;139,92;
EPI_ISL_568356;1988,1848;1848,1860;
EPI_ISL_625087;1159,714;714,1161;
EPI_ISL_510105;1402,697;
EPI_ISL_625088;1988,1848;1848,1860;
EPI_ISL_510108;437,440;435,437;
EPI_ISL_568361;1241,891;667,668;891,1243;668,1252;
EPI_ISL_510110;437,440;435,437;
EPI_ISL_625091;1159,714;714,1161;
EPI_ISL_510111;1988,1848;1848,1860;
EPI_ISL_442693;2090,1865;1865,1866;
EPI_ISL_568363;288,246;246,290;
EPI_ISL_568364;914,1237;1235,914;
EPI_ISL_568365;1988,1848;1848,1860;
EPI_ISL_510114;1988,1848;1848,1860;
EPI_ISL_442696;437,440;435,437;
EPI_ISL_510116;1392,698;611,1395;699,611;698,699;
EPI_ISL_442699;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_625097;285,213;213,287;
EPI_ISL_625099;285,213;213,287;
EPI_ISL_568373;1988,1848;1848,1860;
EPI_ISL_625102;764,1104;1102,764;
EPI_ISL_510125;1988,1848;1848,1860;
EPI_ISL_442708;520,577;2057,1915;1915,2059;575,520;
EPI_ISL_625103;1908,2065;2063,1908;
EPI_ISL_510129;1988,1848;1848,1860;
EPI_ISL_625107;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_625108;282,258;258,284;
EPI_ISL_625109;428,422;857,1254;422,430;1252,857;
EPI_ISL_625110;274,244;244,276;
EPI_ISL_442716;1920,2056;1982,1920;437,440;435,437;
EPI_ISL_625116;285,213;213,287;
EPI_ISL_510140;1988,1848;1848,1860;
EPI_ISL_442725;437,440;435,437;
EPI_ISL_625119;1064,1181;1179,1064;
EPI_ISL_568393;2072,2020;2020,2073;
EPI_ISL_510144;1988,1848;1848,1860;
EPI_ISL_568395;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_510148;437,440;435,437;
EPI_ISL_625124;285,213;865,1405;697,865;213,287;
EPI_ISL_625125;285,213;1927,2031;2088,1927;213,287;
EPI_ISL_510167;437,440;435,437;
EPI_ISL_510168;1988,1848;1848,1860;
EPI_ISL_625128;285,213;213,287;
EPI_ISL_510170;1988,1848;1848,1860;
EPI_ISL_625131;1159,714;714,1161;1988,1848;1848,1860;
EPI_ISL_442747;2040,1994;1994,2042;
EPI_ISL_510176;1988,1848;1848,1860;
EPI_ISL_442752;437,440;435,437;
EPI_ISL_510179;437,440;435,437;
EPI_ISL_625139;1852,2049;2047,1852;
EPI_ISL_625140;288,246;246,290;
EPI_ISL_442758;2079,2103;
EPI_ISL_510186;1988,1848;1848,1860;
EPI_ISL_568420;1988,1932;667,668;1932,1860;668,1252;
EPI_ISL_568421;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_625145;288,246;246,290;
EPI_ISL_625146;288,246;246,290;
EPI_ISL_510191;1988,1848;1848,1860;
EPI_ISL_568425;1916,2060;2058,1916;
EPI_ISL_625148;1990,2096;2094,1990;
EPI_ISL_510193;437,440;435,437;
EPI_ISL_442769;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_510194;1988,1848;1848,1860;
EPI_ISL_625151;288,246;246,290;
EPI_ISL_442774;623,1162;1927,2031;1160,623;2088,1927;
EPI_ISL_510200;1988,1848;1848,1860;
EPI_ISL_625155;1999,1845;1845,1961;
EPI_ISL_625156;870,1133;1131,870;
EPI_ISL_510202;1988,1848;1848,1860;
EPI_ISL_510204;1988,1848;1848,1860;
EPI_ISL_625159;723,1266;1264,723;
EPI_ISL_510207;1988,1848;1848,1860;
EPI_ISL_442785;2057,1915;1915,2059;
EPI_ISL_568441;1814,1815;1815,1818;
EPI_ISL_510211;437,440;435,437;
EPI_ISL_510212;1988,1848;1848,1860;
EPI_ISL_442792;277,189;189,279;
EPI_ISL_568446;1988,1848;1848,1860;
EPI_ISL_568448;1363,1050;894,1170;1050,1365;1168,894;
EPI_ISL_442796;437,440;435,437;
EPI_ISL_510218;1988,1848;1848,1860;
EPI_ISL_625170;1223,810;810,1225;
EPI_ISL_510223;1988,1848;1848,1860;
EPI_ISL_442806;930,697;
EPI_ISL_510227;1988,1848;1848,1860;
EPI_ISL_510229;1988,1848;1848,1860;
EPI_ISL_625178;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_510231;1988,1848;1848,1860;
EPI_ISL_442812;1927,2031;2088,1927;
EPI_ISL_510234;1988,1848;1848,1860;
EPI_ISL_625182;288,246;246,290;
EPI_ISL_568464;1988,1848;1848,1860;
EPI_ISL_625183;292,232;232,294;
EPI_ISL_510236;437,440;435,437;
EPI_ISL_625185;288,246;246,290;
EPI_ISL_442823;1340,804;804,1342;
EPI_ISL_510244;1988,1848;1848,1860;
EPI_ISL_568475;437,440;435,437;
EPI_ISL_625194;285,213;213,287;
EPI_ISL_510249;1988,1848;1848,1860;
EPI_ISL_625195;1159,714;714,1161;
EPI_ISL_510255;1988,1848;1848,1860;
EPI_ISL_625204;1988,1848;1848,1860;
EPI_ISL_625205;1988,1848;1848,1860;
EPI_ISL_510262;1988,1848;1848,1860;
EPI_ISL_625207;1173,980;980,1175;
EPI_ISL_625208;1997,2076;1963,1997;
EPI_ISL_510266;1988,1848;1848,1860;
EPI_ISL_510267;1988,1848;1848,1860;
EPI_ISL_625211;2088,1871;1871,2031;
EPI_ISL_510272;1988,1848;1848,1860;
EPI_ISL_442856;437,440;435,437;
EPI_ISL_510274;1988,1848;1848,1860;
EPI_ISL_442859;1988,1848;1848,1860;
EPI_ISL_442860;437,440;435,437;
EPI_ISL_625222;285,213;213,287;
EPI_ISL_510282;1988,1848;1848,1860;
EPI_ISL_568512;1125,613;1142,1059;613,1127;1059,1144;
EPI_ISL_625231;285,213;213,287;
EPI_ISL_442877;1686,1649;1649,1688;
EPI_ISL_568520;1877,2062;2060,1877;399,413;411,399;
EPI_ISL_625235;1678,1654;288,246;246,290;1654,1680;
EPI_ISL_568521;1877,2062;2060,1877;
EPI_ISL_510297;1988,1848;1848,1860;
EPI_ISL_625237;2034,1978;1978,2036;
EPI_ISL_625241;1988,1848;1848,1860;
EPI_ISL_568528;284,219;219,286;
EPI_ISL_568529;1159,714;714,1161;
EPI_ISL_625243;2076,2078;
EPI_ISL_442892;1988,1848;1848,1860;
EPI_ISL_625244;285,213;2088,1847;1847,2031;213,287;
EPI_ISL_568532;1814,1815;1716,1746;1744,1716;1815,1818;
EPI_ISL_510309;277,189;189,279;
EPI_ISL_625247;288,246;246,290;
EPI_ISL_510310;277,189;189,279;
EPI_ISL_510311;277,189;189,279;
EPI_ISL_510312;1988,1848;1848,1860;
EPI_ISL_442900;1759,1760;1615,1599;1760,1764;435,437;1599,1602;437,440;
EPI_ISL_442902;437,440;435,437;
EPI_ISL_568539;1600,1606;1604,1600;
EPI_ISL_568540;1686,1649;1649,1688;
EPI_ISL_442905;437,440;435,437;
EPI_ISL_510317;1123,982;982,1125;
EPI_ISL_625255;285,213;865,1405;697,865;213,287;
EPI_ISL_568548;1125,613;2043,1850;613,1127;1850,2045;
EPI_ISL_625260;1988,1848;1848,1860;
EPI_ISL_625261;285,213;213,287;
EPI_ISL_568551;111,131;129,111;
EPI_ISL_510332;277,189;189,279;
EPI_ISL_442921;1988,1848;1848,1860;
EPI_ISL_510333;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_625267;288,246;246,290;
EPI_ISL_510335;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_510336;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_510337;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_442926;437,440;435,437;
EPI_ISL_510338;225,287;285,225;1988,1848;414,417;1848,1860;413,414;
EPI_ISL_442928;437,440;435,437;
EPI_ISL_510339;437,440;435,437;
EPI_ISL_510341;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_510342;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_442932;1355,872;872,1357;
EPI_ISL_568565;1852,2049;2047,1852;
EPI_ISL_568566;1852,2049;2047,1852;
EPI_ISL_510345;437,440;435,437;
EPI_ISL_568567;1852,2049;2047,1852;
EPI_ISL_510347;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_568568;1852,2049;2047,1852;
EPI_ISL_510348;1988,1848;1848,1860;
EPI_ISL_568569;1852,2049;2047,1852;
EPI_ISL_625279;285,213;213,287;
EPI_ISL_568571;1852,2049;2047,1852;
EPI_ISL_568572;1852,2049;2047,1852;
EPI_ISL_568573;1852,2049;2047,1852;
EPI_ISL_568574;1852,2049;581,474;2047,1852;474,583;
EPI_ISL_510355;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_568575;1852,2049;2047,1852;
EPI_ISL_442946;150,83;83,152;
EPI_ISL_568576;1852,2049;2047,1852;
EPI_ISL_625284;134,101;101,136;
EPI_ISL_442948;1099,1036;1036,1100;
EPI_ISL_568577;295,235;235,216;
EPI_ISL_625286;679,1300;1298,679;
EPI_ISL_510362;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_510363;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_510364;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_568585;1810,1770;1770,1812;
EPI_ISL_442957;1450,1451;1448,1449;1451,1461;1449,1450;
EPI_ISL_510368;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_625294;285,213;213,287;
EPI_ISL_510370;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_442962;437,440;435,437;
EPI_ISL_510371;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_625296;285,213;213,287;
EPI_ISL_568590;1229,795;795,1231;
EPI_ISL_568591;942,1224;1222,942;
EPI_ISL_442965;437,440;435,437;
EPI_ISL_625301;1533,1539;1504,1533;
EPI_ISL_442973;437,440;435,437;
EPI_ISL_510381;225,287;1988,1848;285,225;1848,1860;
EPI_ISL_568598;1325,743;743,1327;
EPI_ISL_442974;1450,1451;1448,1449;1451,1461;1449,1450;
EPI_ISL_568599;1325,743;743,1327;
EPI_ISL_510384;348,357;355,348;
EPI_ISL_568601;1325,743;743,1327;
EPI_ISL_442979;610,1112;1110,610;
EPI_ISL_442980;437,440;435,437;
EPI_ISL_568604;152,38;38,154;
EPI_ISL_510389;348,357;355,348;
EPI_ISL_442982;437,440;435,437;
EPI_ISL_568608;36,170;168,36;
EPI_ISL_442987;437,440;435,437;
EPI_ISL_568610;1712,1741;1739,1712;
EPI_ISL_625315;869,1263;1261,869;
EPI_ISL_625316;288,246;246,290;
EPI_ISL_442993;437,440;435,437;
EPI_ISL_510400;1988,1848;1848,1860;
EPI_ISL_510401;1988,1848;1848,1860;
EPI_ISL_568616;1712,1741;1739,1712;
EPI_ISL_442996;437,440;435,437;
EPI_ISL_510404;2071,1989;1989,1869;
EPI_ISL_510405;2071,1989;1989,1869;
EPI_ISL_568620;1323,1033;1033,1325;942,1224;1222,942;
EPI_ISL_510406;2071,1989;1989,1869;
EPI_ISL_568622;1548,1515;1515,1550;
EPI_ISL_443002;437,440;435,437;
EPI_ISL_510408;1988,1848;1848,1860;
EPI_ISL_568623;942,1224;1222,942;
EPI_ISL_510409;1988,1848;1848,1860;
EPI_ISL_625326;288,246;246,290;
EPI_ISL_568625;1325,743;743,1327;
EPI_ISL_510411;2071,1989;1989,1869;
EPI_ISL_568626;1325,743;743,1327;
EPI_ISL_625328;1533,1539;1504,1533;
EPI_ISL_625329;1244,734;734,1246;
EPI_ISL_443011;437,440;435,437;
EPI_ISL_510419;288,246;246,290;
EPI_ISL_443015;437,440;435,437;
EPI_ISL_443016;1450,1451;1448,1449;1451,1461;1449,1450;
EPI_ISL_510422;2071,1989;1989,1869;
EPI_ISL_625337;1888,2071;2069,1888;
EPI_ISL_510425;1988,1848;1848,1860;
EPI_ISL_568639;942,1224;1222,942;
EPI_ISL_510426;1988,1848;1848,1860;
EPI_ISL_625340;1563,1564;1564,1568;
EPI_ISL_568640;942,1224;1222,942;
EPI_ISL_568644;942,1224;1222,942;
EPI_ISL_625345;1517,1549;1547,1517;1159,714;714,1161;
EPI_ISL_568646;1479,1482;1477,1479;
EPI_ISL_510433;1987,1988;2082,1987;1988,1848;1848,1860;
EPI_ISL_625347;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_510437;277,189;189,279;
EPI_ISL_443035;437,440;435,437;
EPI_ISL_510438;277,189;189,279;
EPI_ISL_443036;437,440;435,437;
EPI_ISL_510441;1988,1848;1848,1860;
EPI_ISL_568655;942,1224;1222,942;
EPI_ISL_443040;437,440;435,437;
EPI_ISL_625354;134,101;101,136;
EPI_ISL_568656;942,1224;1222,942;
EPI_ISL_625355;134,101;101,136;
EPI_ISL_625357;1551,1506;1506,1555;
EPI_ISL_625358;1196,1214;
EPI_ISL_568660;942,1224;1222,942;
EPI_ISL_443048;2080,2103;
EPI_ISL_625360;288,246;246,290;
EPI_ISL_568662;1479,1482;1477,1479;
EPI_ISL_625361;134,101;101,136;
EPI_ISL_443050;437,440;435,437;
EPI_ISL_443052;2043,1850;1850,2045;437,440;435,437;
EPI_ISL_510455;1548,1515;277,189;1515,1550;189,279;
EPI_ISL_625365;764,1104;1102,764;
EPI_ISL_443056;437,440;435,437;
EPI_ISL_625368;1550,1523;1523,1552;
EPI_ISL_510464;1988,1848;1848,1860;
EPI_ISL_568675;942,1224;1222,942;
EPI_ISL_443065;437,440;435,437;
EPI_ISL_568677;162,85;85,164;
EPI_ISL_625373;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_510467;2071,1989;1989,1869;
EPI_ISL_568678;942,1224;1222,942;
EPI_ISL_443069;437,440;435,437;
EPI_ISL_510469;1988,1848;1848,1860;
EPI_ISL_443070;1123,982;982,1125;
EPI_ISL_568680;1323,1033;1033,1325;
EPI_ISL_510470;1988,1848;1848,1860;
EPI_ISL_568681;1238,757;757,1240;
EPI_ISL_625377;134,101;101,136;
EPI_ISL_625379;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_510474;2071,1989;1989,1869;
EPI_ISL_625381;134,101;101,136;
EPI_ISL_443078;437,440;435,437;
EPI_ISL_625384;1988,1848;1848,1860;
EPI_ISL_510481;2071,1989;1989,1869;
EPI_ISL_625386;1988,1848;1848,1860;
EPI_ISL_443084;1450,1451;1448,1449;1451,1461;1449,1450;
EPI_ISL_568692;277,259;2040,2023;2023,2042;259,279;
EPI_ISL_443085;2080,2103;
EPI_ISL_510483;2071,1989;1989,1869;
EPI_ISL_443086;1150,966;966,1152;
EPI_ISL_568694;285,213;213,287;
EPI_ISL_443087;1988,1848;1848,1860;
EPI_ISL_625390;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_625391;1905,2082;2080,1905;
EPI_ISL_443094;437,440;435,437;
EPI_ISL_443096;437,440;435,437;
EPI_ISL_568703;2078,2085;1927,2031;2088,1927;
EPI_ISL_443097;79,158;156,79;
EPI_ISL_568704;993,1386;1384,993;
EPI_ISL_510495;2086,1925;1925,2087;
EPI_ISL_510498;2071,1989;1989,1869;
EPI_ISL_443102;1759,1760;1615,1599;1760,1764;435,437;1599,1602;437,440;
EPI_ISL_510499;2071,1989;1989,1869;
EPI_ISL_625401;288,246;246,290;
EPI_ISL_625402;288,246;246,290;
EPI_ISL_625403;285,213;1759,1760;213,287;1760,1764;
EPI_ISL_510503;1988,1848;1848,1860;
EPI_ISL_625404;288,246;246,290;
EPI_ISL_443108;299,302;
EPI_ISL_510505;1988,1848;1848,1860;
EPI_ISL_625406;134,101;101,136;
EPI_ISL_443110;437,440;435,437;
EPI_ISL_625410;134,101;101,136;
EPI_ISL_443115;437,440;435,437;
EPI_ISL_625411;134,101;101,136;
EPI_ISL_510512;1988,1848;1848,1860;
EPI_ISL_443118;2080,2103;
EPI_ISL_625413;1988,1848;1848,1860;
EPI_ISL_510514;1988,1848;1848,1860;
EPI_ISL_443184;1916,2060;2058,1916;
EPI_ISL_625415;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_510516;12,132;130,12;
EPI_ISL_443187;1548,1515;1515,1550;
EPI_ISL_443188;1548,1515;1515,1550;
EPI_ISL_443190;1548,1515;1515,1550;
EPI_ISL_443191;1548,1515;1515,1550;
EPI_ISL_443192;1548,1515;1515,1550;
EPI_ISL_443195;1548,1515;1515,1550;
EPI_ISL_443197;1877,2062;2060,1877;
EPI_ISL_510528;135,33;2088,1927;1908,2065;33,137;1927,2031;2063,1908;
EPI_ISL_443203;1548,1515;1515,1550;
EPI_ISL_625429;1533,1539;1504,1533;
EPI_ISL_625430;288,246;246,290;
EPI_ISL_443207;437,440;435,437;
EPI_ISL_443212;1548,1515;1515,1550;
EPI_ISL_625434;1504,1535;1535,1539;
EPI_ISL_443213;1548,1515;1515,1550;
EPI_ISL_625435;1533,1539;1504,1533;
EPI_ISL_443216;1548,1515;1515,1550;
EPI_ISL_568750;129,11;11,131;
EPI_ISL_625439;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_625440;1700,1701;1701,1705;
EPI_ISL_510547;1548,1515;437,440;1515,1550;435,437;
EPI_ISL_625441;1988,1848;1848,1860;
EPI_ISL_443225;2038,1836;1836,2040;
EPI_ISL_625444;1533,1539;1504,1533;
EPI_ISL_443227;1548,1515;1515,1550;
EPI_ISL_625445;1905,2082;2080,1905;
EPI_ISL_625447;134,101;101,136;
EPI_ISL_443232;2072,2020;2020,2073;1548,1515;1515,1550;
EPI_ISL_625449;1988,1848;1848,1860;
EPI_ISL_443234;1474,1475;1475,1480;
EPI_ISL_443237;1548,1515;1515,1550;
EPI_ISL_443238;1988,1848;1848,1860;
EPI_ISL_443241;1548,1515;1515,1550;
EPI_ISL_443244;1548,1515;1515,1550;
EPI_ISL_443245;1548,1515;1515,1550;
EPI_ISL_443246;1548,1515;1515,1550;
EPI_ISL_443247;1548,1515;1515,1550;
EPI_ISL_443248;1548,1515;1515,1550;
EPI_ISL_443255;1908,2065;2063,1908;
EPI_ISL_443265;277,189;189,279;
EPI_ISL_625472;679,1300;1298,679;
EPI_ISL_510587;361,332;332,363;
EPI_ISL_443270;277,189;189,279;
EPI_ISL_625478;1481,1497;1480,1481;
EPI_ISL_568796;129,11;11,131;
EPI_ISL_568799;129,11;11,131;
EPI_ISL_568800;1528,1546;1544,1528;
EPI_ISL_443284;2057,1915;1915,2059;
EPI_ISL_568805;1847,2031;2088,1847;
EPI_ISL_443293;948,1142;1140,948;
EPI_ISL_568810;1847,2031;2088,1847;
EPI_ISL_568812;1847,2031;2088,1847;1548,1515;1515,1550;
EPI_ISL_443298;1624,1628;1622,1624;
EPI_ISL_625496;942,1224;1222,942;
EPI_ISL_443305;585,468;468,587;
EPI_ISL_510627;1902,1841;1841,1982;
EPI_ISL_510629;1690,1662;1662,1665;
EPI_ISL_625509;1908,2065;2063,1908;
EPI_ISL_510635;1661,1685;1683,1661;
EPI_ISL_510636;1902,1841;1841,1982;
EPI_ISL_625514;1814,1815;1815,1818;
EPI_ISL_568837;1905,2082;2080,1905;
EPI_ISL_443326;437,440;435,437;
EPI_ISL_625517;799,1307;1305,799;
EPI_ISL_568840;129,11;2080,1905;1905,2082;11,131;
EPI_ISL_443330;2080,2103;
EPI_ISL_568842;1847,2031;2088,1847;
EPI_ISL_625521;799,1307;1305,799;
EPI_ISL_568843;1847,2031;2088,1847;
EPI_ISL_568845;1847,2031;2088,1847;
EPI_ISL_443335;437,440;435,437;
EPI_ISL_568847;1847,2031;2088,1847;
EPI_ISL_568851;1847,2031;2088,1847;
EPI_ISL_443356;2080,2103;
EPI_ISL_568863;1847,2031;2088,1847;
EPI_ISL_510670;631,1365;1363,631;
EPI_ISL_510671;197,310;308,197;
EPI_ISL_443360;360,327;327,362;
EPI_ISL_510675;197,310;308,197;
EPI_ISL_443363;437,440;435,437;
EPI_ISL_625547;1014,1117;1123,982;1115,1014;982,1125;
EPI_ISL_568873;1548,1515;1515,1550;
EPI_ISL_625548;1624,1628;1622,1624;
EPI_ISL_568874;1548,1515;1515,1550;
EPI_ISL_568875;1548,1515;1515,1550;
EPI_ISL_510684;197,310;308,197;
EPI_ISL_568876;1902,1841;1841,1982;
EPI_ISL_443375;440,442;442,446;
EPI_ISL_443379;437,440;435,437;
EPI_ISL_443384;1450,1451;1448,1449;1490,1503;1451,1461;1501,1490;1449,1450;
EPI_ISL_625560;142,99;99,144;
EPI_ISL_510699;171,106;106,173;
EPI_ISL_510700;667,668;668,1252;
EPI_ISL_510704;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_510706;1566,1569;1565,1566;
EPI_ISL_443395;437,440;435,437;
EPI_ISL_510707;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_510708;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_510712;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_568902;1482,1484;1484,1498;
EPI_ISL_443402;2057,1915;1915,2059;
EPI_ISL_510713;556,512;512,558;
EPI_ISL_625573;1263,689;689,1265;
EPI_ISL_510715;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_625574;1263,689;689,1265;
EPI_ISL_510717;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_625575;1263,689;689,1265;
EPI_ISL_510718;1504,1535;1535,1539;
EPI_ISL_625576;1153,1052;1052,1155;
EPI_ISL_510719;1990,2096;2094,1990;
EPI_ISL_510720;171,106;106,173;
EPI_ISL_443410;306,193;437,440;193,308;435,437;
EPI_ISL_510721;556,512;512,558;
EPI_ISL_510723;1833,2091;2031,1833;
EPI_ISL_443414;211,322;320,211;
EPI_ISL_510725;1504,1535;1535,1539;
EPI_ISL_510728;667,668;668,1252;
EPI_ISL_568918;1852,2049;2047,1852;
EPI_ISL_510731;1990,2096;2094,1990;
EPI_ISL_568920;2005,2065;2063,2005;
EPI_ISL_510734;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_510735;1566,1569;1565,1566;
EPI_ISL_568922;1814,1815;1815,1818;
EPI_ISL_510738;1566,1569;1565,1566;
EPI_ISL_625591;137,56;56,110;
EPI_ISL_625592;1877,2062;1969,1988;2082,1969;2060,1877;
EPI_ISL_510740;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_625598;379,380;380,384;
EPI_ISL_568933;963,1233;241,298;1231,963;216,241;
EPI_ISL_625599;379,380;380,384;
EPI_ISL_568934;963,1233;241,298;1231,963;216,241;
EPI_ISL_625600;137,56;56,110;
EPI_ISL_568935;963,1233;241,298;1231,963;216,241;
EPI_ISL_510751;171,106;106,173;
EPI_ISL_443445;437,440;435,437;
EPI_ISL_625603;1979,2084;2083,1979;
EPI_ISL_510754;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_625604;942,1224;1222,942;
EPI_ISL_625605;942,1224;1222,942;
EPI_ISL_568941;1916,2060;2058,1916;
EPI_ISL_625606;942,1224;1222,942;
EPI_ISL_510757;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_510758;2086,1925;1925,2087;
EPI_ISL_510759;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_443452;1479,1482;1477,1479;
EPI_ISL_443453;437,440;435,437;
EPI_ISL_625609;942,1224;1222,942;
EPI_ISL_510761;1399,932;932,688;
EPI_ISL_510762;1504,1535;1535,1539;
EPI_ISL_510763;667,668;668,1252;
EPI_ISL_443457;437,440;435,437;
EPI_ISL_568947;1355,872;872,1357;
EPI_ISL_510766;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_443459;1988,1848;1848,1860;
EPI_ISL_510767;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_443460;437,440;435,437;
EPI_ISL_510768;1566,1569;1565,1566;
EPI_ISL_443461;1450,1451;1448,1449;1451,1461;1449,1450;
EPI_ISL_510770;1916,2060;2058,1916;556,512;512,558;
EPI_ISL_568952;1866,1943;1943,2093;
EPI_ISL_625616;2062,1835;1835,2064;
EPI_ISL_510771;1888,2071;2069,1888;
EPI_ISL_510772;1916,2060;2058,1916;556,512;512,558;
